model,rounds,criterion,depth,weight,feature,subsample,bootstrap,learning_rate,best_iter_mean,best_iter_max,cv_loss,cv_std,train_loss,train_std,used_time,folds,Xshape,option,
ETC,500,gini,15,2,0.5,,FALSE,,0,0,0.450236666,0.004265261,0.337644256,0.000878343,525.9847341,10,"(50670, 27)",[],
ETC,500,gini,20,2,0.5,,FALSE,,0,0,0.448877782,0.004815847,0.213036354,0.001255561,617.252234,10,"(50670, 27)",[],
ETC,500,gini,25,2,0.5,,FALSE,,0,0,0.4501,0.005118833,0.135499181,0.000855975,650.4291921,10,"(50670, 27)",[],
ETC,500,entropy,15,2,0.5,,FALSE,,0,0,0.450012917,0.004282769,0.349034209,0.000755565,467.053679,10,"(50670, 27)",[],
ETC,500,entropy,20,2,0.5,,FALSE,,0,0,0.44774498,0.004563244,0.227497707,0.001712716,612.7978129,10,"(50670, 27)",[],
ETC,500,entropy,25,2,0.5,,FALSE,,0,0,0.448995332,0.005069685,0.140053339,0.001029496,654.118046,10,"(50670, 27)",[],
ETC,500,entropy,15,2,0.5,,FALSE,,0,0,0.447728441,0.004587995,0.343350968,0.001558879,492.9853489,10,"(50670, 27)",['bernoulli'],
ETC,500,entropy,20,2,0.5,,FALSE,,0,0,0.445682087,0.005686728,0.226633967,0.002419492,641.673429,10,"(50670, 27)",['bernoulli'],
ETC,500,entropy,25,2,0.5,,FALSE,,0,0,0.447285513,0.005542519,0.144359742,0.002267724,696.425395,10,"(50670, 27)",['bernoulli'],
ETC,500,entropy,15,2,0.5,,FALSE,,0,0,0.447291569,0.004528284,0.33576352,0.001140174,576.5482321,10,"(50670, 27)",['onehot'],
ETC,500,entropy,20,2,0.5,,FALSE,,0,0,0.445252706,0.005036588,0.211100473,0.000970433,721.434808,10,"(50670, 27)",['onehot'],
ETC,500,entropy,25,2,0.5,,FALSE,,0,0,0.446230083,0.005476108,0.127409081,0.000889121,774.8906579,10,"(50670, 27)",['onehot'],
ETC,500,entropy,15,2,0.5,,FALSE,,0,0,0.447058271,0.004526367,0.336604999,0.001241974,797.0070119,10,"(50670, 27)","['onehot', 'logit_feat']",
ETC,500,entropy,20,2,0.5,,FALSE,,0,0,0.445501142,0.005187076,0.214358275,0.001676066,939.810266,10,"(50670, 27)","['onehot', 'logit_feat']",
ETC,500,entropy,25,2,0.5,,FALSE,,0,0,0.447374628,0.005808725,0.130359504,0.001577096,1088.333429,10,"(50670, 27)","['onehot', 'logit_feat']",
ETC,500,entropy,15,2,0.5,,FALSE,,0,0,0.448981683,0.004250596,0.347878907,0.001185849,678.585943,10,"(50670, 27)",['onehot'],
